Repository URL,Country code,CORE ID,OpenDOAR ID,ROAR ID,Software,Version
http://repositorio.ul.pt,PT,489,1961,,dspace, 5.2
https://researchspace.auckland.ac.nz,NZ,491,547,,dspace, 3.2
http://greif.uni-greifswald.de,DE,492,930,,na,na
http://ousar.lib.okayama-u.ac.jp,jp,493,,2946,na,na
http://archive.nyu.edu,us,494,,924,dspace, 5.4
http://infoscience.epfl.ch,CH,496,185,,na,na
http://pubdb.desy.de,DE,497,1108,,invenio,
http://www2.informatik.uni-stuttgart.de,DE,499,1752,,na,na
https://digital.library.adelaide.edu.au,au,500,763,1291,dspace, 5.4
http://www.alexandria.unisg.ch,CH,501,2,,eprints, 3.3
http://www.ifremer.fr,fr,502,,63,na,na
http://bbktheses.da.ulcc.ac.uk,GB,503,2562,,eprints, 3.3
https://ore.exeter.ac.uk,GB,504,956,,dspace, 5.8
http://researchonline.rca.ac.uk,GB,505,2568,,eprints, 3.4
http://acikarsiv.ankara.edu.tr,tr,506,,3916,na,na
http://www.jamstec.go.jp,JP,509,1766,,na,na
http://aisberg.unibg.it,IT,510,1581,,dspace, 4.3
http://ir.lib.pccu.edu.tw,TW,512,1788,,na,na
http://www.ru.tic.unam.mx,MX,513,2573,,dspace, 6.0
http://naturalis.fcnym.unlp.edu.ar,AR,515,2518,,na,na
https://ortus.rtu.lv,LV,516,2184,,na,na
http://ink.library.smu.edu.sg,SG,517,2269,,na,na
http://repository.kribb.re.kr,kr,518,,4071,dspace,
http://bada.hb.se,SE,519,937,,dspace, 1.8
https://api.archives-ouvertes.fr,FR,1514,3523,,na,na
https://api.archives-ouvertes.fr,FR,1515,3515,,na,na
https://api.archives-ouvertes.fr,FR,1516,3512,,na,na
https://api.archives-ouvertes.fr,FR,1517,2592,,na,na
https://api.archives-ouvertes.fr,FR,1518,2784,,na,na
https://api.archives-ouvertes.fr,FR,1519,3511,,na,na
https://api.archives-ouvertes.fr,FR,1520,3393,,na,na
https://api.archives-ouvertes.fr,FR,1521,2345,,na,na
https://api.archives-ouvertes.fr,FR,1522,80,,na,na
https://api.archives-ouvertes.fr,FR,1523,3514,,na,na
https://api.archives-ouvertes.fr,FR,1524,3526,,na,na
https://api.archives-ouvertes.fr,FR,1525,1398,,na,na
https://api.archives-ouvertes.fr,FR,1526,3516,,na,na
https://api.archives-ouvertes.fr,FR,1527,2191,,na,na
https://api.archives-ouvertes.fr,FR,1528,3522,,na,na
https://api.archives-ouvertes.fr,FR,1529,3214,,na,na
https://api.archives-ouvertes.fr,FR,1530,3513,,na,na
https://api.archives-ouvertes.fr,FR,1531,3285,,na,na
https://api.archives-ouvertes.fr,FR,1532,3518,,na,na
http://api.archives-ouvertes.fr,FR,1533,2100,,na,na
https://api.archives-ouvertes.fr,FR,1534,3524,,na,na
https://api.archives-ouvertes.fr,FR,1535,2755,,na,na
https://api.archives-ouvertes.fr,FR,1536,3519,,na,na
https://api.archives-ouvertes.fr,FR,1537,3711,,na,na
https://api.archives-ouvertes.fr,FR,1538,3510,,na,na
https://api.archives-ouvertes.fr,FR,1539,3517,,na,na
https://api.archives-ouvertes.fr,FR,1540,3521,,na,na
https://api.archives-ouvertes.fr,FR,1541,3525,,na,na
https://api.archives-ouvertes.fr,FR,1542,3520,,na,na
http://api.archives-ouvertes.fr,FR,1543,2417,,na,na
http://www.hcs.harvard.edu,US,1545,1132,,na,na
http://thedata.harvard.edu,US,1546,2954,,na,na
http://www.hsdvl.org,US,1547,620,,na,na
http://hh.diva-portal.org,SE,1548,1743,,na,na
http://helindigitalcommons.org,US,1550,483,,digital commons,
http://helios-eie.ekt.gr,GR,1551,1457,,dspace, 1.8
http://hzi.openrepository.com,DE,1552,1146,,dspace, 5.7
http://hermes-ir.lib.hit-u.ac.jp,JP,1554,1040,,na,na
http://opus.bsz-bw.de,DE,1555,2526,,opus,
